Species,Outcome,Method,effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Porites spp.,Polyps in Center of Wound,Penalized GLMM (weakly-informative Normal prior),fixed,cond,(Intercept),-5.576604164822711,1.234205003280928,-4.518377538576038,6.2315298011200106e-6,-7.9956015207924676,-3.1576068088529534
Porites spp.,Polyps in Center of Wound,Penalized GLMM (weakly-informative Normal prior),fixed,cond,treatment_labelDremel,1.2863067079872508,1.3827443438012479,0.9302563512580466,0.35223837160474,-1.4238224056896644,3.996435821664166
Porites spp.,Polyps in Center of Wound,Penalized GLMM (weakly-informative Normal prior),fixed,cond,treatment_labelAirbrush-Dremel,-0.19943959386099877,1.4839460485622071,-0.1343981434191866,0.8930877496533793,-3.10792040404345,2.709041216321452
Porites spp.,Polyps in Center of Wound,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)1",3.529217976882893,1.59008147963728,2.21952020829018,0.026451353958251565,0.4127155443096657,6.6457204094561195
Porites spp.,Polyps in Center of Wound,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)2",6.040513809049334,2.1969308587180585,2.7495238573753125,0.005968191807140705,1.734608449437287,10.346419168661381
Porites spp.,Polyps in Center of Wound,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)3",7.10759352715372,1.3574537244650926,5.235974824817312,1.6411632357116656e-7,4.447033116522382,9.768153937785058
Porites spp.,Polyps in Center of Wound,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)1",4.311144420846668,2.3234430649129023,1.8554981983207228,0.06352511626995215,-0.24272030651197785,8.865009148205313
Porites spp.,Polyps in Center of Wound,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)1",3.0103042950803016,2.1098743517061687,1.4267694626677614,0.1536463560361122,-1.1249734461685823,7.145582036329186
Porites spp.,Polyps in Center of Wound,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)2",7.017736568793519,2.3913597360945618,2.934621865071001,0.0033395438655827833,2.3307576119689717,11.704715525618067
Porites spp.,Polyps in Center of Wound,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)2",-0.3086948390055914,2.5729167008420633,-0.11997855931541114,0.9045001324424664,-5.35151890787765,4.7341292298664674
Porites spp.,Polyps in Center of Wound,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)3",-1.8396918796403243,2.01857290614009,-0.911382429658277,0.3620939080664118,-5.796022075843251,2.1166383165626015
Porites spp.,Polyps in Center of Wound,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)3",0.10755987355677618,1.7859533843464532,0.0602254652890262,0.9519760641550432,-3.392844437829692,3.607964184943244
