outcome,spline_df,min_interaction_p,n_interaction_terms,n_significant_p05
Coenosarc Coverage,3,0.006132916359894104,6,1
Coenosarc Coverage,4,0.008110704059165755,8,1
Coenosarc Coverage,5,0.01999997157507685,10,2
Polyps in Center of Wound,3,0.0033395438655868213,6,1
Polyps in Center of Wound,4,5.00911596372355e-4,8,1
Polyps in Center of Wound,5,0.020072336406207432,10,2
Algal Plug,3,0.20631341185706145,6,0
Algal Plug,4,0.1523210821760143,8,0
Algal Plug,5,0.2744016449411967,10,0
Yellow Aggregations,3,0.007863603358456565,6,1
Yellow Aggregations,4,0.004053397368987892,8,1
Yellow Aggregations,5,0.0024014337706393654,10,1
Pink,3,0.01365113381538861,6,2
Pink,4,0.04586861157751275,8,1
Pink,5,0.1155799260863367,10,0
RFP,3,2.1892626694937223e-5,6,2
RFP,4,0.002362923498854782,8,3
RFP,5,0.012557256213768402,10,1
