treatment,species,day,pred
airbrush,acropora,0,0.020411301936792282
airbrush,acropora,3,0.020411301936792282
airbrush,acropora,8,0.020411301936792282
airbrush,acropora,13,0.020411301936792282
airbrush,acropora,18,0.020411301936792282
airbrush,acropora,23,0.020411301936792282
airbrush,acropora,28,0.020411301936792282
airbrush,pocillopora,0,0.004061986778478629
airbrush,pocillopora,3,0.004061986778478629
airbrush,pocillopora,8,0.004061986778478629
airbrush,pocillopora,13,0.004061986778478629
airbrush,pocillopora,18,0.004061986778478629
airbrush,pocillopora,23,0.004061986778478629
airbrush,pocillopora,28,0.004061986778478629
airbrush,porites,0,0.009538196400212974
airbrush,porites,3,0.009538196400212974
airbrush,porites,8,0.009538196400212974
airbrush,porites,13,0.009538196400212974
airbrush,porites,18,0.009538196400212974
airbrush,porites,23,0.009538196400212974
airbrush,porites,28,0.009538196400212974
dremel,acropora,0,0.3510172152174935
dremel,acropora,3,0.3510172152174935
dremel,acropora,8,0.3510172152174935
dremel,acropora,13,0.3510172152174935
dremel,acropora,18,0.3510172152174935
dremel,acropora,23,0.3510172152174935
dremel,acropora,28,0.3510172152174935
dremel,pocillopora,0,0.09573489534908475
dremel,pocillopora,3,0.09573489534908475
dremel,pocillopora,8,0.09573489534908475
dremel,pocillopora,13,0.09573489534908475
dremel,pocillopora,18,0.09573489534908475
dremel,pocillopora,23,0.09573489534908475
dremel,pocillopora,28,0.09573489534908475
dremel,porites,0,0.19998409185285687
dremel,porites,3,0.19998409185285687
dremel,porites,8,0.19998409185285687
dremel,porites,13,0.19998409185285687
dremel,porites,18,0.19998409185285687
dremel,porites,23,0.19998409185285687
dremel,porites,28,0.19998409185285687
