day,treatment,species,prop_healed
0,airbrush,acropora,0
0,airbrush,pocillopora,0
0,airbrush,porites,0
0,dremel,acropora,0
0,dremel,pocillopora,0
0,dremel,porites,0
3,airbrush,acropora,0
3,airbrush,pocillopora,0
3,airbrush,porites,0
3,dremel,acropora,0
3,dremel,pocillopora,0
3,dremel,porites,0
8,airbrush,acropora,0
8,airbrush,pocillopora,0
8,airbrush,porites,0
8,dremel,acropora,0
8,dremel,pocillopora,0
8,dremel,porites,0
13,airbrush,acropora,0
13,airbrush,pocillopora,0
13,airbrush,porites,0
13,dremel,acropora,0.4
13,dremel,pocillopora,0
13,dremel,porites,0
18,airbrush,acropora,0
18,airbrush,pocillopora,0
18,airbrush,porites,0
18,dremel,acropora,0.4
18,dremel,pocillopora,0
18,dremel,porites,0
23,airbrush,acropora,0
23,airbrush,pocillopora,0
23,airbrush,porites,0
23,dremel,acropora,0.8
23,dremel,pocillopora,0.3333333333333333
23,dremel,porites,0.5
28,airbrush,acropora,0
28,airbrush,pocillopora,0
28,airbrush,porites,0.3333333333333333
28,dremel,acropora,1
28,dremel,pocillopora,0.3333333333333333
28,dremel,porites,1
