day,species,treatment,n,n_regenerated,prop_regen
0,acropora,airbrush,5,0,0
0,acropora,dremel,5,0,0
0,pocillopora,airbrush,3,0,0
0,pocillopora,dremel,3,0,0
0,porites,airbrush,3,0,0
0,porites,dremel,3,0,0
3,acropora,airbrush,5,0,0
3,acropora,dremel,5,0,0
3,pocillopora,airbrush,3,0,0
3,pocillopora,dremel,3,0,0
3,porites,airbrush,3,0,0
3,porites,dremel,3,0,0
8,acropora,airbrush,5,0,0
8,acropora,dremel,5,3,0.6
8,pocillopora,airbrush,3,0,0
8,pocillopora,dremel,2,0,0
8,porites,airbrush,3,0,0
8,porites,dremel,3,0,0
13,acropora,airbrush,5,0,0
13,acropora,dremel,5,4,0.8
13,pocillopora,airbrush,3,0,0
13,pocillopora,dremel,3,0,0
13,porites,airbrush,3,0,0
13,porites,dremel,3,3,1
18,acropora,airbrush,5,0,0
18,acropora,dremel,5,4,0.8
18,pocillopora,airbrush,3,0,0
18,pocillopora,dremel,3,0,0
18,porites,airbrush,3,0,0
18,porites,dremel,3,3,1
23,acropora,airbrush,5,0,0
23,acropora,dremel,5,5,1
23,pocillopora,airbrush,3,0,0
23,pocillopora,dremel,3,1,0.3333333333333333
23,porites,airbrush,3,0,0
23,porites,dremel,2,2,1
28,acropora,airbrush,5,0,0
28,acropora,dremel,5,5,1
28,pocillopora,airbrush,3,0,0
28,pocillopora,dremel,3,1,0.3333333333333333
28,porites,airbrush,3,1,0.3333333333333333
28,porites,dremel,2,2,1
